t,run_id,role,status,latency_s,prompt_chars,response_chars,prompt_tokens,completion_tokens,total_tokens,error,response_preview
0,predict_state_only,predict,ok,24.017132,3491,1197,1003,267,1270,,"Headline: Immediate survival stabilization and initial tool crafting in a resource-rich Floor 0.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely moves to coordinate (2, -4) or nearby trees to gath ...<snip>"
0,predict_history_k5,predict,ok,10.781223,4099,1434,1234,315,1549,,"Headline: Initial exploration and resource gathering likely precede tool upgrades.  Meaningful events (ordered): 1. [t+1 to t+10] The player likely continues moving left/up towards the dense tree cluster at (-5,  ...<snip>"
283,predict_state_only,predict,ok,8.568377,3890,1054,1223,249,1472,,"Headline: Immediate survival stabilization followed by tool upgrade and initial descent.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely moves to (1, 0) to harvest the Cow, restoring Food and gain ...<snip>"
283,predict_history_k5,predict,ok,10.432237,7843,1251,3226,292,3518,,Headline: Immediate resource consolidation and intrinsic stabilization precede dungeon descent.  Meaningful events (ordered): 1. [t+1 to t+8] The player likely continues moving right to clear the path and secure  ...<snip>
298,predict_state_only,predict,ok,10.519799,4651,1375,1661,305,1966,,"Headline: Immediate resource consolidation and tool upgrade to enable floor descent.  Meaningful events (ordered): 1. [t+1 to t+4] The player likely gathers the 19 stones and 1 sapling immediately to the left, pr ...<snip>"
298,predict_history_k5,predict,ok,10.605413,10211,1192,4607,287,4894,,"Headline: Player stabilizes at the fountain to restore intrinsics before clearing the dark corridor to the chest.  Meanful events (ordered): 1. [t+1 to t+4] The player likely moves UP to the fountain at (-1, 0) t ...<snip>"
1310,predict_state_only,predict,ok,9.650099,4714,1304,1694,279,1973,,Headline: Immediate survival stabilization and strategic diamond usage to bypass early floor progression bottlenecks.  Meaningful events (ordered): 1. [t+1 to t+3] The player likely consumes the three green potio ...<snip>
1310,predict_history_k5,predict,ok,10.81103,13331,1158,6310,280,6590,,Headline: Player stabilizes resources in Floor 0 before committing to the descent ladder.  Meaningful events (ordered): 1. [t+1 to t+10] The player likely continues moving right to clear the remaining Snail at (3 ...<snip>
1450,predict_state_only,predict,ok,9.75279,4734,1256,1706,282,1988,,Headline: Immediate tool upgrade and resource consolidation before descending to Floor 2.  Meaningful events (ordered): 1. [t+1 to t+3] The player likely uses the Stone Pickaxe to mine the 16 available stone bloc ...<snip>
1450,predict_history_k5,predict,ok,12.226055,13495,1488,6395,321,6716,,Headline: Leftward exploration continues until resource thresholds trigger a tool upgrade or defensive retreat.  Meaningful events (ordered): 1. [t+1 to t+15] The player likely continues moving left to clear the  ...<snip>
2180,predict_state_only,predict,ok,10.551137,4737,1281,1700,306,2006,,Headline: Immediate survival stabilization followed by diamond tool acquisition and descent preparation.  Meaningful events (ordered): 1. [t+1 to t+3] The player likely consumes the three green potions to restore ...<snip>
2180,predict_history_k5,predict,ok,10.644717,13629,1153,6433,274,6707,,"Headline: Player likely descends to Floor 2 to clear the path and secure the ladder before returning to gather resources.  Meaningful events (ordered): 1. [t+1 to t+4] The player moves down to Floor 2, where a Sn ...<snip>"
2195,predict_state_only,predict,ok,11.327702,4720,1487,1673,329,2002,,Headline: Immediate survival stabilization and tool upgrade on Floor 2 before attempting descent.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely consumes the three Green potions to restore Mana a ...<snip>
2195,predict_history_k5,predict,ok,11.357747,13917,1296,6447,295,6742,,"Headline: The player likely consolidates resources on Floor 2 before attempting to descend, given the closed ladder and safe environment.  Meaningful events (ordered): 1. [t+1 to t+10] The player likely continues ...<snip>"
