policy_id,policy_name,variant_name,checkpoint_path,step,counterfactual_id,counterfactual_description,llm_layer,base_action_id,base_action_name,modified_action_id,modified_action_name,action_changed,base_value,modified_value,value_delta
online_skip25_final,online_skip25_final,step_20260225,/data/group_data/rl/geney/online_rl_hidden_models/online-jax-128env-skip25-dualconcat-l24-100m-rerun4_20260225_230016.msgpack,6,step0006_dark_with_mobs,Make the scene darker and add nearby hostile mobs.,24,3,UP,3,UP,0,8.237936019897461,8.271053314208984,0.03311729431152344
online_skip25_final,online_skip25_final,step_20260225,/data/group_data/rl/geney/online_rl_hidden_models/online-jax-128env-skip25-dualconcat-l24-100m-rerun4_20260225_230016.msgpack,6,step0006_low_drink,Lower drink sharply.,24,3,UP,3,UP,0,8.237936019897461,8.072680473327637,-0.16525554656982422
online_skip25_final,online_skip25_final,step_20260225,/data/group_data/rl/geney/online_rl_hidden_models/online-jax-128env-skip25-dualconcat-l24-100m-rerun4_20260225_230016.msgpack,6,step0006_low_energy,Lower energy sharply.,24,3,UP,3,UP,0,8.237936019897461,8.146675109863281,-0.09126091003417969
online_skip25_final,online_skip25_final,step_20260225,/data/group_data/rl/geney/online_rl_hidden_models/online-jax-128env-skip25-dualconcat-l24-100m-rerun4_20260225_230016.msgpack,6,step0006_low_food,Lower food sharply.,24,3,UP,3,UP,0,8.237936019897461,8.024476051330566,-0.21345996856689453
online_skip25_final,online_skip25_final,step_20260225,/data/group_data/rl/geney/online_rl_hidden_models/online-jax-128env-skip25-dualconcat-l24-100m-rerun4_20260225_230016.msgpack,6,step0006_low_health,Lower health sharply.,24,3,UP,3,UP,0,8.237936019897461,8.277416229248047,0.03948020935058594
online_skip25_final,online_skip25_final,step_20260225,/data/group_data/rl/geney/online_rl_hidden_models/online-jax-128env-skip25-dualconcat-l24-100m-rerun4_20260225_230016.msgpack,240,step0240_add_zombie_right,Add a zombie one tile to the right.,24,5,DO,5,DO,0,3.9167566299438477,3.915276050567627,-0.0014805793762207031
online_skip25_final,online_skip25_final,step_20260225,/data/group_data/rl/geney/online_rl_hidden_models/online-jax-128env-skip25-dualconcat-l24-100m-rerun4_20260225_230016.msgpack,619,step0619_shift_arrow_skeleton_left,Move arrow and skeleton left to requested target coordinates.,24,1,LEFT,1,LEFT,0,2.547616720199585,2.5968146324157715,0.04919791221618652
online_skip25_final,online_skip25_final,step_20260225,/data/group_data/rl/geney/online_rl_hidden_models/online-jax-128env-skip25-dualconcat-l24-100m-rerun4_20260225_230016.msgpack,1065,step1065_no_sword_more_witches,Remove iron sword from inventory and add witches at specified coordinates.,24,19,ASCEND,19,ASCEND,0,0.09344559162855148,0.09105288237333298,-0.002392709255218506
online_skip25_final,online_skip25_final,step_20260225,/data/group_data/rl/geney/online_rl_hidden_models/online-jax-128env-skip25-dualconcat-l24-100m-rerun4_20260225_230016.msgpack,1103,step1103_remove_stone,Remove the nearby stone block.,24,19,ASCEND,19,ASCEND,0,-0.044696979224681854,-0.03555036336183548,0.009146615862846375
online_skip25_final,online_skip25_final,step_20260225,/data/group_data/rl/geney/online_rl_hidden_models/online-jax-128env-skip25-dualconcat-l24-100m-rerun4_20260225_230016.msgpack,1326,step1326_torch_to_stone,Replace the torch with a stone block.,24,19,ASCEND,19,ASCEND,0,0.022994274273514748,0.027715349569916725,0.0047210752964019775
