t,run_id,role,status,latency_s,prompt_chars,response_chars,prompt_tokens,completion_tokens,total_tokens,error,response_preview
0,predict_state_only,predict,ok,34.588291,3475,959,964,230,1194,,"Headline: Initial exploration and resource gathering with available tools.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely explores nearby trees to gather wood, using the default pickaxe to collec ...<snip>"
0,predict_history_k5,predict,ok,8.051444,4083,897,1191,192,1383,,Headline: Resource gathering and intrinsic stabilization will precede floor progression.  Meaningful events (ordered): 1. [t+1 to t+8] The player likely continues moving left towards the tree cluster to gather wo ...<snip>
283,predict_state_only,predict,ok,6.845041,3874,634,1184,162,1346,,"Headline: Early resource setup before first meaningful progression.  Meaningful events (ordered): 1. [t+1 to t+6] The player likely gathers the stone at 3, -4 using the stone pickaxe, then proceeds to collect the ...<snip>"
283,predict_history_k5,predict,ok,8.412253,7827,853,3180,194,3374,,"Headline: Player likely continues moving left to gather resources before addressing threats.  Meaningful events (ordered): 1. [t+1 to t+8] The player likely continues moving left towards the stone cluster, using  ...<snip>"
298,predict_state_only,predict,ok,8.888439,4635,932,1622,206,1828,,"Headline: Initial exploration and resource gathering before floor progression.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely explores the path at -1, -3 and -2, looking for resources and the lad ...<snip>"
298,predict_history_k5,predict,ok,8.807865,10195,877,4561,196,4757,,"Headline: Progression toward the ladder up and resource gathering likely follow in sequence.  Meaningful events (ordered): 1. [t+1 to t+8] The player likely moves up toward the ladder up at (0,0), navigating thro ...<snip>"
1310,predict_state_only,predict,ok,8.688903,4698,902,1655,205,1860,,"Headline: Initial exploration and resource gathering with potential for progression.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely moves right along the path at (0, -1) and (1, -1), collecting t ...<snip>"
1310,predict_history_k5,predict,ok,9.800052,13315,1027,6264,217,6481,,Headline: Resource gathering and survival stabilization expected before progression.  Meaningful events (ordered): 1. [t+1 to t+8] The player likely continues moving right towards the cluster of stone and fountai ...<snip>
1450,predict_state_only,predict,ok,8.923912,4718,921,1667,207,1874,,"Headline: Initial exploration and resource gathering in a complex dungeon layout.  Meaningful events (ordered): 1. [t+1 to t+10] The player likely moves right along the path at (0,0) to explore the open area, col ...<snip>"
1450,predict_history_k5,predict,ok,9.30381,13479,953,6349,207,6556,,"Headline: Resource gathering and survival stabilization likely precede progression.  Meaningful events (ordered): 1. [t+1 to t+8] The player likely continues moving left towards the cluster of stone, unless a nea ...<snip>"
2180,predict_state_only,predict,ok,10.319794,4721,991,1661,239,1900,,"Headline: Initial exploration and resource gathering in a dark, maze-like environment.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely moves right along the path at (0, -1) and (1, -1), encounteri ...<snip>"
2180,predict_history_k5,predict,ok,9.812275,13613,1014,6387,217,6604,,"Headline: Progression likely resumes after stabilizing intrinsics and gathering resources.  Meaningful events (ordered): 1. [t+1 to t+8] The player likely continues moving down towards the ladder, as the ladder i ...<snip>"
2195,predict_state_only,predict,ok,8.155011,4704,919,1636,193,1829,,"Headline: Initial exploration and resource gathering in a partially mapped corridor.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely moves right along the path at (0, -4) and explores the corridor ...<snip>"
2195,predict_history_k5,predict,ok,9.919484,13901,1080,6405,221,6626,,"Headline: Progression likely resumes with tool upgrades and floor exploration.  Meaningful events (ordered): 1. [t+1 to t+8] The player likely continues moving left to gather stone and upgrade tools, as the path  ...<snip>"
