t,run_id,role,status,latency_s,prompt_chars,response_chars,prompt_tokens,completion_tokens,total_tokens,error,response_preview
0,predict_state_only,predict,ok,47.252577,3333,1497,983,450,1433,,"Thinking Process:  1.  **Analyze the Request:**     *   **Task:** Forecast a plausible future for a Craftax state.     *   **Constraints:**         *   Start with `Headline:`.         *   No preamble, no reasonin ...<snip>"
0,predict_history_k5,predict,ok,18.386314,4013,1517,1216,450,1666,,Thinking Process:  1.  **Analyze the Request:**     *   **Task:** Forecast a plausible future for a Craftax state based on short history context.     *   **Constraints:**         *   Start with `Headline:`.       ...<snip>
283,predict_state_only,predict,ok,19.648335,3734,1501,1205,450,1655,,"Thinking Process:  1.  **Analyze the Request:**     *   **Task:** Forecast a plausible future for a Craftax state.     *   **Constraints:**         *   Start with `Headline:`.         *   No preamble, no analysis ...<snip>"
283,predict_history_k5,predict,ok,20.709899,7759,1639,3210,450,3660,,Thinking Process:  1.  **Analyze the Request:**     *   **Task:** Forecast a plausible future for a Craftax state using short history context.     *   **Constraints:**         *   Start with `Headline:`.          ...<snip>
298,predict_state_only,predict,ok,20.251612,4495,1464,1643,450,2093,,"Thinking Process:  1.  **Analyze the Request:**     *   **Task:** Forecast a plausible future for a Craftax state.     *   **Constraints:**         *   Start with `Headline:`.         *   No preamble, analysis, o ...<snip>"
298,predict_history_k5,predict,ok,21.2261,10127,1421,4591,450,5041,,Thinking Process:  1.  **Analyze the Request:**     *   **Task:** Forecast a plausible future for a Craftax state using short history context.     *   **Constraints:**         *   Start with `Headline:`.          ...<snip>
1310,predict_state_only,predict,ok,20.0538,4559,1526,1677,450,2127,,"Thinking Process:  1.  **Analyze the Request:**     *   **Task:** Forecast a plausible future for a Craftax state.     *   **Constraints:**         *   Start with `Headline:`.         *   No preamble, analysis, o ...<snip>"
1310,predict_history_k5,predict,ok,21.215982,13248,1485,6295,450,6745,,Thinking Process:  1.  **Analyze the Request:**     *   **Task:** Forecast a plausible future for a Craftax state based on short history context.     *   **Constraints:**         *   Start with `Headline:`.       ...<snip>
1450,predict_state_only,predict,ok,19.826584,4579,1447,1689,450,2139,,"Thinking Process:  1.  **Analyze the Request:**     *   **Task:** Forecast a plausible future for a Craftax state.     *   **Constraints:**         *   Start with `Headline:`.         *   No preamble, no reasonin ...<snip>"
1450,predict_history_k5,predict,ok,21.39848,13412,1549,6380,450,6830,,Thinking Process:  1.  **Analyze the Request:**     *   **Task:** Forecast a plausible future for a Craftax state based on short history context.     *   **Constraints:**         *   Start with `Headline:`.       ...<snip>
2180,predict_state_only,predict,ok,19.970646,4582,1468,1683,450,2133,,"Thinking Process:  1.  **Analyze the Request:**     *   **Task:** Forecast a plausible future for a Craftax state.     *   **Constraint:** Do NOT output reasoning, preamble, or notes. Start with `Headline:`.      ...<snip>"
2180,predict_history_k5,predict,ok,20.928307,13546,1411,6418,450,6868,,"Thinking Process:  1.  **Analyze the Request:**     *   **Task:** Forecast a plausible future for a Craftax state using short history context.     *   **Input:** Game rules (coordinates, intrinsics, progression l ...<snip>"
2195,predict_state_only,predict,ok,19.72183,4565,1518,1656,450,2106,,Thinking Process:  1.  **Analyze the Request:**     *   **Task:** Forecast a plausible future for a Craftax state.     *   **Constraint 1:** Do NOT describe reasoning or restate rules.     *   **Constraint 2:** S ...<snip>
2195,predict_history_k5,predict,ok,20.985831,13834,1429,6432,450,6882,,Thinking Process:  1.  **Analyze the Request:**     *   **Task:** Forecast a plausible future for a Craftax state using short history context.     *   **Constraints:**         *   Start with `Headline:`.          ...<snip>
