t,run_id,role,status,latency_s,prompt_chars,response_chars,prompt_tokens,completion_tokens,total_tokens,error,response_preview
0,predict_state_only,predict,ok,332.836021,3460,949,957,244,1201,,"Headline: Initial exploration and resource gathering with available tree and water tiles.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely explores nearby trees to gather wood, using the available  ...<snip>"
0,predict_history_k5,predict,ok,12.997256,4069,1041,1185,217,1402,,"Headline: Resource gathering and intrinsic stabilization will precede floor progression.  Meaningful events (ordered): 1. [t+1 to t+8] The player likely continues moving left to gather resources, focusing on wood ...<snip>"
283,predict_state_only,predict,ok,10.976389,3859,823,1177,182,1359,,"Headline: Initial resource gathering and preparation for floor progression.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely collects stone from (3, -4) and (4, -4) to upgrade tools, using the ston ...<snip>"
283,predict_history_k5,predict,ok,13.056125,7813,969,3174,214,3388,,"Headline: Player likely continues moving left to gather resources before addressing threats.  Meaningful events (ordered): 1. [t+1 to t+8] The player likely continues moving left towards the stone cluster, using  ...<snip>"
298,predict_state_only,predict,ok,12.901812,4620,931,1615,212,1827,,"Headline: Initial exploration and resource gathering before floor progression.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely moves right along the path at row -1, column 0 to the fountain, refil ...<snip>"
298,predict_history_k5,predict,ok,12.602501,10181,862,4555,196,4751,,Headline: Progression toward the ladder up begins after resource replenishment.  Meaningful events (ordered): 1. [t+1 to t+8] The player likely moves right toward the fountain to replenish drink and possibly rest ...<snip>
1310,predict_state_only,predict,ok,11.863603,4683,833,1648,197,1845,,"Headline: Initial exploration and resource gathering with potential for progression.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely moves right along the path at (0, -1) and (1, -1), collecting t ...<snip>"
1310,predict_history_k5,predict,ok,12.936052,13301,957,6258,206,6464,,"Headline: Resource gathering and survival stabilization expected before progression.  Meaningful events (ordered): 1. [t+1 to t+8] The player likely continues moving right towards the fountain and Snail on path,  ...<snip>"
1450,predict_state_only,predict,ok,11.491404,4703,829,1660,191,1851,,"Headline: Initial exploration and resource gathering in a narrow corridor.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely moves right along the path at (0,0) to explore the corridor, gathering wo ...<snip>"
1450,predict_history_k5,predict,ok,12.252292,13465,880,6343,194,6537,,"Headline: Player likely continues leftward exploration before attempting to descend.  Meaningful events (ordered): 1. [t+1 to t+8] The player likely continues moving left towards the cluster of stone, unless a ne ...<snip>"
2180,predict_state_only,predict,ok,13.433472,4706,906,1654,222,1876,,"Headline: Initial exploration and resource gathering in a restricted area.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely moves right along the path at (0, -1) and (1, -1), encountering a snail a ...<snip>"
2180,predict_history_k5,predict,ok,13.195921,13599,966,6381,210,6591,,"Headline: Progression likely resumes after resource stabilization.  Meaningful events (ordered): 1. [t+1 to t+8] The player likely continues moving down towards the ladder, as the ladder is open and the floor pro ...<snip>"
2195,predict_state_only,predict,ok,10.602664,4689,840,1629,176,1805,,"Headline: Initial exploration and resource gathering in a partially mapped corridor.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely moves right along the path at (0, -4) and explores the corridor ...<snip>"
2195,predict_history_k5,predict,ok,11.86776,13887,879,6399,188,6587,,"Headline: Progression commitment likely follows resource stabilization.  Meaningful events (ordered): 1. [t+1 to t+8] The player likely continues moving left to gather stone and wood, aiming to upgrade tools, unl ...<snip>"
