t,run_id,role,status,latency_s,prompt_chars,response_chars,prompt_tokens,completion_tokens,total_tokens,error,response_preview
0,predict_state_only,predict,ok,1.575639,6789,740,1760,186,1946,,"Headline: Initial wood gathering and movement toward the overworld ladder.  Meaningful events (ordered): 1. [t+1 to t+6] The player moves to the nearest tree at (-2, -2) or (-3, -3) and begins harvesting wood. 2. ...<snip>"
0,predict_history_k5,predict,ok,1.781189,7380,825,1996,204,2200,,"Headline: Initial wood gathering and exploration for the ladder on Floor 0.  Meaningful events (ordered): 1. [t+1 to t+6] The player moves toward the nearest trees (e.g., at (1, 1) or (-1, 2)) to begin harvesting ...<snip>"
283,predict_state_only,predict,ok,1.770115,7188,739,2020,174,2194,,"Headline: Hunting for food and navigating to the ladder on Floor 0.  Meaningful events (ordered): 1. [t+1 to t+4] The player moves to (1, 0) to kill the Cow, prioritizing food replenishment as the current food le ...<snip>"
283,predict_history_k5,predict,ok,1.798242,11124,707,4216,169,4385,,"Headline: Hunting nearby cow to restore critical food levels before floor progression.  Meaningful events (ordered): 1. [t+1 to t+4] The player moves toward the cow at (1, 0) and attacks it with the iron sword to ...<snip>"
298,predict_state_only,predict,ok,1.883114,7949,830,2482,199,2681,,"Headline: Exploration and combat on Floor 1 to unlock the descending ladder.  Meaningful events (ordered): 1. [t+1 to t+3] The player moves toward the fountain at (-1, 0) to top off Drink levels before engaging i ...<snip>"
298,predict_history_k5,predict,ok,1.987182,13492,811,5690,195,5885,,"Headline: Exploration and resource gathering on Floor 1.  Meaningful events (ordered): 1. [t+1 to t+4] The player moves toward the fountain at (-1, 0) to top off the drink stat, ensuring survival stability. 2. [t ...<snip>"
650,predict_state_only,predict,ok,1.889339,7984,771,2487,191,2678,,"Headline: Combat and health recovery on Floor 1.  Meaningful events (ordered): 1. [t+1 to t+4] The player engages and kills the Snail at (-2, 0) to progress the ladder kill count and potentially secure food. 2. [ ...<snip>"
650,predict_history_k5,predict,ok,2.027963,16361,939,7239,222,7461,,"Headline: Combat and health stabilization on Floor 1.  Meaningful events (ordered): 1. [t+1 to t+5] The player moves toward the Snail at (-2, 0) to engage in combat, aiming to increase the kill count for the ladd ...<snip>"
1000,predict_state_only,predict,ok,1.540625,8078,695,2513,167,2680,,"Headline: Ascending from Floor 1 to the Overworld via the open ladder.  Meaningful events (ordered): 1. [t+1 to t+4] The player moves right and slightly down to reach the open ladder at (0, 3). 2. [t+5] The playe ...<snip>"
1000,predict_history_k5,predict,ok,1.861739,16960,789,7404,198,7602,,"Headline: Navigating to the ladder and descending to Floor 2.  Meaningful events (ordered): 1. [t+1 to t+5] The player continues moving right and down toward the identified ladder at (0, 3). 2. [t+6 to t+8] The p ...<snip>"
