t,run_id,role,status,latency_s,prompt_chars,response_chars,prompt_tokens,completion_tokens,total_tokens,error,response_preview
0,predict_state_only,predict,ok,88.068514,6789,640,1716,152,1868,,"Headline: Immediate ladder ascent and resource gathering on floor 0.  Meaningful events (ordered): 1. [t+1 to t+5] The player ascends the ladder to floor 1, moving toward the next level of progression. 2. [t+6 to ...<snip>"
0,predict_history_k5,predict,ok,3.592256,7380,622,1944,149,2093,,"Headline: Immediate ladder ascent and early resource gathering on floor 0.  Meaningful events (ordered): 1. [t+1 to t+5] The player ascends the ladder to floor -1, moving toward deeper exploration. 2. [t+6 to t+1 ...<snip>"
283,predict_state_only,predict,ok,3.832602,7188,726,1936,167,2103,,"Headline: Securing resources and preparing for ladder ascent on floor 0.  Meaningful events (ordered): 1. [t+1 to t+5] The player uses the stone pickaxe to mine nearby stone, converting it into tools and material ...<snip>"
283,predict_history_k5,predict,ok,4.139552,11124,768,3933,175,4108,,"Headline: Proceeding toward ladder and resource gathering on floor 0.  Meaningful events (ordered): 1. [t+1 to t+5] The player moves right toward the path and continues exploring, likely looking for the ladder or ...<snip>"
298,predict_state_only,predict,ok,4.13855,7949,770,2374,179,2553,,"Headline: Ladder acquisition and early resource refinement on floor 1.  Meaningful events (ordered): 1. [t+1 to t+5] The player moves toward the ladder at (0, 0) and checks if it is open. Since it is closed, the  ...<snip>"
298,predict_history_k5,predict,ok,5.162981,13492,884,5314,203,5517,,"Headline: Descending to floor 1 and securing resources in the dark.  Meaningful events (ordered): 1. [t+1 to t+5] The player moves upward to explore the dark area, likely seeking the ladder or resources. The ladd ...<snip>"
650,predict_state_only,predict,ok,4.024057,7984,740,2394,174,2568,,"Headline: Preparing for ladder access and resource upgrades in floor 1.  Meaningful events (ordered): 1. [t+1 to t+5] The player moves right along the path at (0, -4) to (5, -4), gathering wood and stone as neede ...<snip>"
650,predict_history_k5,predict,ok,4.184048,16361,772,6905,166,7071,,"Headline: Engaging with hostile mobs and resource gathering on floor 1.  Meaningful events (ordered): 1. [t+1 to t+5] The player faces an Orc Mage and a Fireball, likely engaging in combat to survive and secure r ...<snip>"
1000,predict_state_only,predict,ok,4.365096,8078,771,2429,189,2618,,"Headline: Ascending the ladder and preparing for floor 1 exploration.  Meaningful events (ordered): 1. [t+1 to t+5] The player ascends the ladder at (0, 3) to floor 1, where the map is clearer and resources may b ...<snip>"
1000,predict_history_k5,predict,ok,4.449945,16960,783,7145,177,7322,,"Headline: Securing ladder access and preparing for floor progression.  Meaningful events (ordered): 1. [t+1 to t+5] The player moves right toward the ladder at (0, 3) and confirms it is open, prioritizing ladder  ...<snip>"
