t,run_id,role,status,latency_s,prompt_chars,response_chars,prompt_tokens,completion_tokens,total_tokens,error,response_preview
0,predict_state_only,predict,ok,88.183738,7136,731,1795,162,1957,,Headline: Securing initial resources and preparing for ladder descent.  Meaningful events (ordered): 1. [t+1 to t+5] The player gathers wood from nearby trees to start crafting tools and improve resource gatherin ...<snip>
0,predict_history_k5,predict,ok,4.061476,7727,686,2023,162,2185,,"Headline: Immediate ladder use and resource gathering on floor 0.  Meaningful events (ordered): 1. [t+1 to t+5] The player uses the ladder to descend to floor 1, gaining 1 player_xp which can be used to upgrade a ...<snip>"
283,predict_state_only,predict,ok,4.62469,7535,797,2015,186,2201,,"Headline: Ascending ladder and early resource refinement on floor 0.  Meaningful events (ordered): 1. [t+1 to t+5] The player ascends the ladder to floor -1, gaining 1 player_xp. With XP earned, the player upgrad ...<snip>"
283,predict_history_k5,predict,ok,4.320156,11471,740,4012,164,4176,,"Headline: Proceeding toward ladder and resource gathering on floor 0.  Meaningful events (ordered): 1. [t+1 to t+5] The player moves right toward the ladder, which is open, and begins gathering nearby resources l ...<snip>"
298,predict_state_only,predict,ok,4.641718,8296,753,2453,184,2637,,"Headline: Ladder discovery and initial resource refinement on floor 1.  Meaningful events (ordered): 1. [t+1 to t+5] The player moves toward the ladder at (0, 0) and discovers it is closed, prompting exploration  ...<snip>"
298,predict_history_k5,predict,ok,5.285281,13839,830,5393,198,5591,,"Headline: Descending to floor 1 and securing resources in the dark  Meaningful events (ordered): 1. [t+1 to t+5] The player moves right toward the fountain and ladder, navigating through darkness and wall_moss. 2 ...<snip>"
650,predict_state_only,predict,ok,4.448941,8331,775,2473,176,2649,,"Headline: Securing resources and preparing for ladder progression on floor 1.  Meaningful events (ordered): 1. [t+1 to t+5] The player moves right along the path at (0, -4) to gather wood and stone, using the sto ...<snip>"
650,predict_history_k5,predict,ok,5.386181,16708,898,6984,193,7177,,"Headline: Engaging with hostile entities while securing resources on floor 1.  Meaningful events (ordered): 1. [t+1 to t+5] The player encounters an Orc Mage and a Fireball, likely leading to combat. The player m ...<snip>"
1000,predict_state_only,predict,ok,4.631556,8425,792,2508,184,2692,,"Headline: Using the ladder to descend to floor 2 and securing initial resources.  Meaningful events (ordered): 1. [t+1 to t+5] The player uses the ladder at (0, 3) to descend to floor 2, gaining 1 player_xp. The  ...<snip>"
1000,predict_history_k5,predict,ok,4.97816,17307,693,7224,174,7398,,"Headline: Securing the ladder and preparing for descent to floor 2.  Meaningful events (ordered): 1. [t+1 to t+5] The player moves right toward the ladder at (0, 3) and confirms it is open, prioritizing descent o ...<snip>"
1310,predict_state_only,predict,ok,4.514511,8359,739,2486,179,2665,,"Headline: Descending to floor 2 via the open ladder and upgrading tools.  Meaningful events (ordered): 1. [t+1 to t+5] The player descends through the open ladder to floor 2, where they find a new set of resource ...<snip>"
1310,predict_history_k5,predict,ok,5.709232,16959,906,7096,206,7302,,"Headline: Securing resources and preparing for ladder progression on floor 1.  Meaningful events (ordered): 1. [t+1 to t+5] The player continues moving right, exploring the path at -2, -4 and -3, -4, gathering re ...<snip>"
1450,predict_state_only,predict,ok,4.568087,8379,761,2498,181,2679,,"Headline: Using the open ladder to descend to floor 2 and prepare for upgrades.  Meaningful events (ordered): 1. [t+1 to t+5] The player descends using the open ladder to reach floor 2, where they will start gath ...<snip>"
1450,predict_history_k5,predict,ok,4.773747,17123,700,7181,166,7347,,"Headline: Securing resources and preparing for ladder ascent on floor 1.  Meaningful events (ordered): 1. [t+1 to t+5] The player continues moving left, exploring the path at -3, -4 and gathering resources like s ...<snip>"
1750,predict_state_only,predict,ok,4.096418,8460,667,2541,161,2702,,"Headline: Ascending the ladder and preparing for floor 1 progression.  Meaningful events (ordered): 1. [t+1 to t+5] The player ascends the ladder to floor 1, using the stone pickaxe and iron sword. 2. [t+6 to t+1 ...<snip>"
1750,predict_history_k5,predict,ok,5.504213,17382,819,7339,187,7526,,"Headline: Securing a safe path and preparing for ladder descent.  Meaningful events (ordered): 1. [t+1 to t+5] The player moves downward toward the torch on path at (0, -4) to secure a light source and navigate t ...<snip>"
2050,predict_state_only,predict,ok,4.563447,8400,732,2479,181,2660,,"Headline: Ascending the ladder and upgrading tools on floor 1.  Meaningful events (ordered): 1. [t+1 to t+5] The player ascends the ladder at (0, -1) to floor 1, gaining 1 player_xp. The player uses the XP to upg ...<snip>"
2050,predict_history_k5,predict,ok,4.664279,17196,770,7090,162,7252,,"Headline: Engaging with nearby threats and preparing for ladder descent.  Meaningful events (ordered): 1. [t+1 to t+5] The player faces multiple enemies, including Orc Mages and Fireballs, requiring immediate com ...<snip>"
2180,predict_state_only,predict,ok,4.370727,8382,719,2492,173,2665,,"Headline: Using the open ladder to descend to floor 2 and secure resources.  Meaningful events (ordered): 1. [t+1 to t+5] The player descends using the open ladder to reach floor 2, where they will find more reso ...<snip>"
2180,predict_history_k5,predict,ok,5.342693,17257,833,7219,189,7408,,"Headline: Proceeding toward the ladder while managing resources and potential threats.  Meaningful events (ordered): 1. [t+1 to t+5] The player continues moving right, navigating through dark paths and encounteri ...<snip>"
2195,predict_state_only,predict,ok,4.904126,8365,827,2467,196,2663,,"Headline: Ladder discovery and initial resource refinement on floor 2.  Meaningful events (ordered): 1. [t+1 to t+5] The player moves toward the ladder at (0,0) and finds it closed. They explore nearby for resour ...<snip>"
2195,predict_history_k5,predict,ok,5.253206,17545,797,7237,185,7422,,"Headline: Preparing for ladder access on floor 2.  Meaningful events (ordered): 1. [t+1 to t+5] The player moves left toward the ladder on path and prepares to find the ladder, as it is closed and the player need ...<snip>"
