t,run_id,role,status,latency_s,prompt_chars,response_chars,prompt_tokens,completion_tokens,total_tokens,error,response_preview
0,predict_state_only,predict,ok,567.727345,6789,1012,1774,239,2013,,"Headline: Immediate descent to Floor 1 via the open ladder on Floor 0.  Meaningful events (ordered): 1. [t+1 to t+3] The player moves toward the open ladder (likely at or near the spawn point given the ""Ladder Op ...<snip>"
0,predict_history_k5,predict,ok,25.609111,7380,912,2008,216,2224,,"Headline: Immediate resource gathering to enable tool crafting on Floor 0.  Meaningful events (ordered): 1. [t+1 to t+5] The player moves toward the nearest trees (e.g., at 1,1 or -1,2) and chops wood to build an ...<snip>"
283,predict_state_only,predict,ok,23.308058,7188,763,1994,196,2190,,"Headline: Immediate food acquisition followed by ladder descent on Floor 0.  Meaningful events (ordered): 1. [t+1 to t+3] The player moves to (1, 0) to engage the Cow, prioritizing this over exploration due to cr ...<snip>"
283,predict_history_k5,predict,ok,33.052476,11124,1035,4000,266,4266,,"Headline: Immediate food acquisition followed by ladder descent.  Meaningful events (ordered): 1. [t+1 to t+3] The player moves toward the Cow at (1, 0) and attacks it to raise Food from 2 to a safe level, priori ...<snip>"
298,predict_state_only,predict,ok,30.48703,7949,1074,2432,258,2690,,"Headline: Ladder-clearing combat and resource scavenging on Floor 1.  Meaningful events (ordered): 1. [t+1 to t+5] The player moves away from the closed ladder to explore the visible path network, prioritizing th ...<snip>"
298,predict_history_k5,predict,ok,37.335191,13492,1307,5381,291,5672,,"Headline: Initial exploration and resource gathering on Floor 1 to unlock the descent ladder.  Meaningful events (ordered): 1. [t+1 to t+5] The player moves away from the ladder_up at (0,0) to explore the visible ...<snip>"
1310,predict_state_only,predict,ok,25.452178,8012,857,2465,212,2677,,"Headline: Immediate descent to Floor 2 via the open ladder.  Meaningful events (ordered): 1. [t+1 to t+3] The player moves from (0,0) toward the ladder location (likely nearby given the ""Ladder Open"" status) to i ...<snip>"
1310,predict_history_k5,predict,ok,37.829256,16612,1127,7084,280,7364,,"Headline: Immediate descent to Floor 2 following resource stabilization.  Meaningful events (ordered): 1. [t+1 to t+3] The player moves toward the fountain at (1,0) to drink, raising Drink from 8 to 9, ensuring f ...<snip>"
1450,predict_state_only,predict,ok,27.421277,8032,955,2477,229,2706,,"Headline: Immediate descent to Floor 2 via the open ladder.  Meaningful events (ordered): 1. [t+1 to t+3] The player moves from (0,0) to the ladder location (likely at -3,0 or nearby based on path connectivity) a ...<snip>"
1450,predict_history_k5,predict,ok,42.299867,16776,1334,7169,321,7490,,"Headline: Immediate descent to Floor 2 via the open ladder after a brief westward probe.  Meaningful events (ordered): 1. [t+1 to t+4] The player continues moving left (West) along the path at Row 0, likely placi ...<snip>"
2180,predict_state_only,predict,ok,24.862743,8035,863,2471,206,2677,,"Headline: Immediate descent to Floor 2 via the open ladder.  Meaningful events (ordered): 1. [t+1 to t+3] The player moves from (0,0) toward the open ladder, likely located nearby given the ""Ladder Open: True"" st ...<snip>"
2180,predict_history_k5,predict,ok,33.600845,16910,999,7207,242,7449,,"Headline: Prioritizing ladder descent on Floor 1 with stable stats.  Meaningful events (ordered): 1. [t+1 to t+4] The player moves from the current position (0,0) toward the open ladder, likely navigating the pat ...<snip>"
2195,predict_state_only,predict,ok,29.863622,8018,1014,2444,252,2696,,"Headline: Aggressive exploration to clear mobs and open the ladder on Floor 2.  Meaningful events (ordered): 1. [t+1 to t+5] The player moves away from the closed ladder at (0,0) to explore the visible path netwo ...<snip>"
2195,predict_history_k5,predict,ok,34.819969,17198,1094,7221,253,7474,,"Headline: Immediate exploration and combat to unlock the ladder on Floor 2.  Meaningful events (ordered): 1. [t+1 to t+4] The player moves away from the ladder_up (0,0) into the revealed path network (likely towa ...<snip>"
