t,run_id,role,status,latency_s,prompt_chars,response_chars,prompt_tokens,completion_tokens,total_tokens,error,response_preview
0,predict_state_only,predict,ok,15.279508,3491,800,966,175,1141,,"Headline: Early resource setup in floor 0 before first meaningful progression.  Meaningful events (ordered): 1. [t+1 to t+6] The player likely gathers the three stones to the left using the wooden pickaxe, in ord ...<snip>"
0,predict_history_k5,predict,ok,4.699504,4099,997,1193,200,1393,,Headline: Immediate resource gathering and survival stabilization expected before floor progression.  Meaningful events (ordered): 1. [t+1 to t+8] The player likely continues moving left to gather nearby trees an ...<snip>
283,predict_state_only,predict,ok,4.264162,3890,823,1186,192,1378,,"Headline: Resource gathering and tool upgrade preparation on floor 0 before ladder exploration.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely collects stone from (3, -4) and (4, -4) to upgrade t ...<snip>"
283,predict_history_k5,predict,ok,4.970525,7843,1018,3182,219,3401,,"Headline: Player likely continues gathering resources and preparing for floor progression.  Meaningful events (ordered): 1. [t+1 to t+8] The player likely continues moving left towards the stone cluster, using th ...<snip>"
298,predict_state_only,predict,ok,4.216671,4651,846,1624,189,1813,,"Headline: Resource gathering and ladder preparation on floor 1.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely collects wood from the left side of the map to upgrade tools, using the stone pickax ...<snip>"
298,predict_history_k5,predict,ok,5.022764,10211,1041,4563,216,4779,,"Headline: Player likely continues exploration on floor 1 before attempting to descend.  Meaningful events (ordered): 1. [t+1 to t+8] The player likely moves right towards the fountain and ladder, using the founta ...<snip>"
1310,predict_state_only,predict,ok,4.307003,4714,903,1657,193,1850,,"Headline: Initial exploration and resource gathering on floor 1 with access to a fountain and ladder.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely explores the path to the left, gathering wood  ...<snip>"
1310,predict_history_k5,predict,ok,5.755106,13331,1191,6266,244,6510,,Headline: Player likely continues moving right towards the fountain and Snail on path before considering floor progression.  Meaningful events (ordered): 1. [t+1 to t+8] The player likely continues moving right t ...<snip>
1450,predict_state_only,predict,ok,4.734092,4734,934,1669,213,1882,,"Headline: Initial exploration and resource gathering on floor 1 with access to a ladder.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely moves right along the path at (0,0) to explore the open are ...<snip>"
1450,predict_history_k5,predict,ok,5.184806,13495,1001,6351,218,6569,,"Headline: Player likely continues leftward exploration with focus on resource gathering and ladder preparation.  Meaningful events (ordered): 1. [t+1 to t+8] The player likely continues moving left, focusing on g ...<snip>"
2180,predict_state_only,predict,ok,4.519927,4737,893,1663,203,1866,,"Headline: Resource refinement and ladder exploration on floor 1.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely refines wood to stone using the diamond pickaxe, focusing on the path near column - ...<snip>"
2180,predict_history_k5,predict,ok,5.153735,13629,1044,6389,216,6605,,"Headline: Player likely continues downward progression toward the ladder, with potential for resource gathering and combat.  Meaningful events (ordered): 1. [t+1 to t+8] The player likely continues moving down to ...<snip>"
2195,predict_state_only,predict,ok,4.454624,4720,912,1638,200,1838,,"Headline: Ladder access and resource refinement on floor 2 before descending.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely investigates the ladder at (0,0) and confirms it is closed, requiring  ...<snip>"
2195,predict_history_k5,predict,ok,5.242943,13917,987,6407,220,6627,,"Headline: Ladder descent confirmed, resource gathering likely prioritized on floor 2.  Meaningful events (ordered): 1. [t+1 to t+8] The player likely moves left to explore the stone cluster, aiming to gather reso ...<snip>"
