t,run_id,role,status,latency_s,prompt_chars,response_chars,prompt_tokens,completion_tokens,total_tokens,error,response_preview
0,predict_state_only,predict,ok,114.978043,6644,687,1683,156,1839,,Headline: Securing resources and preparing for ladder descent on floor 0.  Meaningful events (ordered): 1. [t+1 to t+5] The player gathers wood from nearby trees to craft basic tools and improve survival readines ...<snip>
0,predict_history_k5,predict,ok,3.450832,7235,621,1911,153,2064,,"Headline: Initial exploration and ladder pursuit on floor 0.  Meaningful events (ordered): 1. [t+1 to t+5] The player moves toward the ladder at (0,0) and explores nearby trees for wood. 2. [t+6 to t+11] The play ...<snip>"
283,predict_state_only,predict,ok,3.39667,7043,637,1903,151,2054,,"Headline: Ladder ascent and early upgrade preparation on floor 0.  Meaningful events (ordered): 1. [t+1 to t+5] The player ascends the ladder to floor -1, moving toward higher floors. 2. [t+6 to t+11] The player  ...<snip>"
283,predict_history_k5,predict,ok,4.646832,10979,865,3900,201,4101,,"Headline: Proceeding toward the ladder while managing low food and preparing for potential upgrades.  Meaningful events (ordered): 1. [t+1 to t+5] The player moves right toward the ladder, avoiding the cow at (1, ...<snip>"
298,predict_state_only,predict,ok,4.656415,7804,855,2341,207,2548,,"Headline: Securing ladder access and resource upgrades on floor 1.  Meaningful events (ordered): 1. [t+1 to t+5] The player moves toward the ladder at (0, 0) and checks if it is open. Since it is closed, the play ...<snip>"
298,predict_history_k5,predict,ok,4.134644,13347,771,5281,174,5455,,"Headline: Descending to floor 1 and securing resources in the dark  Meaningful events (ordered): 1. [t+1 to t+5] The player moves right toward the torch and explores the dark corridor, gathering resources like wo ...<snip>"
1310,predict_state_only,predict,ok,3.403126,7867,589,2374,150,2524,,"Headline: Using the open ladder to descend to floor 2.  Meaningful events (ordered): 1. [t+1 to t+5] The player descends using the open ladder at (0, -4) to reach floor 2. 2. [t+6 to t+11] The player explores flo ...<snip>"
1310,predict_history_k5,predict,ok,4.087191,16467,748,6984,165,7149,,"Headline: Securing a path forward and preparing for ladder ascent.  Meaningful events (ordered): 1. [t+1 to t+5] The player continues moving right, navigating through the path and avoiding walls, with the goal of ...<snip>"
1450,predict_state_only,predict,ok,3.443397,7887,603,2386,152,2538,,"Headline: Using the open ladder to descend to floor 2.  Meaningful events (ordered): 1. [t+1 to t+5] The player descends using the open ladder at (0, -4) to reach floor 2. 2. [t+6 to t+11] The player explores flo ...<snip>"
1450,predict_history_k5,predict,ok,4.793239,16631,788,7069,198,7267,,"Headline: Probing for ladder and resources on floor 1.  Meaningful events (ordered): 1. [t+1 to t+5] The player continues moving left, likely seeking the ladder or resources in the path at -3, -4. 2. [t+6 to t+11 ...<snip>"
2180,predict_state_only,predict,ok,3.834082,7890,688,2380,170,2550,,"Headline: Ascending the ladder and upgrading tools on floor 1.  Meaningful events (ordered): 1. [t+1 to t+5] The player ascends the ladder to floor 0, where they will likely gather more resources and prepare for  ...<snip>"
2180,predict_history_k5,predict,ok,4.453967,16765,824,7107,182,7289,,"Headline: Probing downward for ladder and resources on floor 1.  Meaningful events (ordered): 1. [t+1 to t+5] The player continues moving downward, exploring the darkened paths and encountering snails and torches ...<snip>"
2195,predict_state_only,predict,ok,4.073431,7873,787,2355,181,2536,,"Headline: Ladder acquisition and early resource refinement on floor 2.  Meaningful events (ordered): 1. [t+1 to t+5] The player moves toward the ladder at (0,0) and investigates the path leading to it, gathering  ...<snip>"
2195,predict_history_k5,predict,ok,4.18747,17053,744,7125,170,7295,,"Headline: Preparing for ladder access on floor 2.  Meaningful events (ordered): 1. [t+1 to t+5] The player moves left toward the ladder on path and prepares to find the ladder, as it is closed and the floor requi ...<snip>"
