t,run_id,role,status,latency_s,prompt_chars,response_chars,prompt_tokens,completion_tokens,total_tokens,error,response_preview
0,predict_state_only,predict,ok,569.080597,7136,1078,1853,248,2101,,"Headline: Immediate resource gathering to enable tool crafting on Floor 0.  Meaningful events (ordered): 1. [t+1 to t+4] The player moves toward the nearest tree cluster (e.g., at -2, -2 or -3, -3) and harvests w ...<snip>"
0,predict_history_k5,predict,ok,25.480569,7727,952,2087,228,2315,,"Headline: Immediate resource gathering and tool crafting on the overworld floor.  Meaningful events (ordered): 1. [t+1 to t+4] The player moves toward the nearest tree (likely at 1,1 or -1,2) and harvests wood, a ...<snip>"
283,predict_state_only,predict,ok,27.002324,7535,1013,2073,246,2319,,"Headline: Immediate food consumption followed by ladder descent to Floor 1.  Meaningful events (ordered): 1. [t+1 to t+3] The player moves to (1, 0) to kill the Cow, consuming the meat to raise Food from 2 to a s ...<snip>"
283,predict_history_k5,predict,ok,29.432946,11471,1034,4079,249,4328,,"Headline: Immediate food acquisition from the adjacent Cow to prevent starvation.  Meaningful events (ordered): 1. [t+1 to t+3] The player moves to (1,0) and attacks the Cow. Given the Iron Sword and low enemy co ...<snip>"
298,predict_state_only,predict,ok,30.180433,8296,1191,2511,273,2784,,"Headline: Aggressive floor clearing to unlock the ladder while managing resource decay.  Meaningful events (ordered): 1. [t+1 to t+5] The player moves from the ladder_up at (0,0) into the unexplored darkness (e.g ...<snip>"
298,predict_history_k5,predict,ok,30.351035,13839,1097,5460,248,5708,,"Headline: Initial exploration and resource scouting on Floor 1 to locate the descent ladder.  Meaningful events (ordered): 1. [t+1 to t+5] The player moves away from the entrance (0,0) into the lit corridor, like ...<snip>"
650,predict_state_only,predict,ok,29.053702,8331,1100,2531,262,2793,,"Headline: Immediate health stabilization via combat and resource management on Floor 1.  Meaningful events (ordered): 1. [t+1 to t+3] The player engages the Snail at (-2, 0) to secure food and potentially gain XP ...<snip>"
650,predict_history_k5,predict,ok,32.648522,16708,1071,7051,255,7306,,"Headline: Critical survival maneuver to escape the Orc Mage and stabilize health.  Meaningful events (ordered): 1. [t+1 to t+3] The player immediately retreats or maneuvers away from the Orc Mage at (-4, 0) to av ...<snip>"
1000,predict_state_only,predict,ok,27.533565,8425,1029,2566,247,2813,,"Headline: Immediate descent to Floor 2 after confirming open ladder status.  Meaningful events (ordered): 1. [t+1 to t+3] The player moves from (0,0) to (0,3) to reach the open ladder, prioritizing progression ov ...<snip>"
1000,predict_history_k5,predict,ok,31.337704,17307,972,7291,241,7532,,"Headline: Immediate descent to Floor 2 via the open ladder.  Meaningful events (ordered): 1. [t+1 to t+3] The player moves from (0,0) to (0,3) to reach the `ladder_up` tile, prioritizing the open ladder over reso ...<snip>"
1310,predict_state_only,predict,ok,31.636085,8359,1209,2544,287,2831,,"Headline: Immediate descent to Floor 2 with full stats and upgraded gear.  Meaningful events (ordered): 1. [t+1 to t+3] The player moves from (0,0) to the ladder location (likely nearby or at the current position ...<snip>"
