t,run_id,role,status,latency_s,prompt_chars,response_chars,prompt_tokens,completion_tokens,total_tokens,error,response_preview
0,predict_state_only,predict,ok,325.375771,3460,1097,995,251,1246,,"Headline: Immediate survival stabilization followed by rapid tool acquisition.  Meaningful events (ordered): 1. [t+1 to t+3] The player likely moves UP to collect the water source at (-5, 0) to restore Drink befo ...<snip>"
0,predict_history_k5,predict,ok,9.133664,4069,1113,1226,264,1490,,"Headline: Survival stabilization precedes tool crafting and initial descent.  Meaningful events (ordered): 1. [t+1 to t+4] The player likely moves up and right to harvest the dense tree cluster at (-2,-2) through ...<snip>"
283,predict_state_only,predict,ok,9.861182,3859,1210,1215,286,1501,,"Headline: Immediate survival stabilization followed by tool upgrade and initial descent.  Meaningful events (ordered): 1. [t+1 to t+4] The player likely moves right to the Cow at (1,0) to harvest food, addressing ...<snip>"
283,predict_history_k5,predict,ok,9.580994,7813,1153,3218,265,3483,,"Headline: Immediate resource gathering and intrinsic stabilization precede further exploration.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely moves right to collect the Cow at (1,0) and the Ston ...<snip>"
298,predict_state_only,predict,ok,8.695275,4620,1075,1653,249,1902,,"Headline: Immediate survival stabilization followed by stone tool optimization and vertical progression.  Meaningful events (ordered): 1. [t+1 to t+3] The player likely moves right to the fountain at (0, -1) to r ...<snip>"
298,predict_history_k5,predict,ok,11.194499,10181,1327,4599,302,4901,,"Headline: Survival stabilization and resource consolidation likely precede further exploration.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely moves left towards the torch at (-2, -3) to increase ...<snip>"
1310,predict_state_only,predict,ok,9.716243,4683,1228,1686,279,1965,,Headline: Immediate survival stabilization followed by iron tool acquisition and floor descent.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely consumes one or two green potions to restore Health  ...<snip>
1310,predict_history_k5,predict,ok,9.203768,13301,1057,6302,231,6533,,"Headline: Player stabilizes intrinsics at the fountain before clearing the right-side corridor for descent.  Meaningful events (ordered): 1. [t+1 to t+4] The player likely moves right towards the fountain at (1,0 ...<snip>"
1450,predict_state_only,predict,ok,8.122374,4703,1032,1698,232,1930,,"Headline: Immediate survival stabilization followed by iron tool acquisition and descent preparation.  Meaningful events (ordered): 1. [t+1 to t+3] The player likely moves right to the fountain at (-2, 3) to refi ...<snip>"
1450,predict_history_k5,predict,ok,11.547878,13465,1333,6387,298,6685,,Headline: Exploration and resource consolidation likely precede the next descent.  Meaningful events (ordered): 1. [t+1 to t+12] The player likely continues moving left to clear the darkness and uncover the terra ...<snip>
2180,predict_state_only,predict,ok,10.138524,4706,1290,1692,291,1983,,Headline: Immediate survival stabilization followed by targeted resource acquisition for tool upgrades.  Meaningful events (ordered): 1. [t+1 to t+3] The player likely consumes the nearby Snail or travels to the  ...<snip>
2180,predict_history_k5,predict,ok,11.970836,13599,1311,6425,310,6735,,"Headline: Player likely descends to Floor 2 to secure the fountain and manage resource decay.  Meaningful events (ordered): 1. [t+1 to t+4] The player continues moving down, navigating past walls and torches to r ...<snip>"
2195,predict_state_only,predict,ok,10.625557,4689,1407,1665,305,1970,,Headline: Immediate survival stabilization followed by the critical bottleneck of ladder progression.  Meaningful events (ordered): 1. [t+1 to t+3] The player likely moves down the central path to locate a safe s ...<snip>
2195,predict_history_k5,predict,ok,11.091471,13887,1199,6439,284,6723,,"Headline: Player stabilizes intrinsics and clears immediate threats before attempting further descent.  Meaningful events (ordered): 1. [t+1 to t+5] The player likely moves left to extinguish the torch at (2, -4) ...<snip>"
