t,run_id,role,status,latency_s,prompt_chars,response_chars,prompt_tokens,completion_tokens,total_tokens,error,response_preview
0,predict_state_only,predict,ok,713.161814,7136,1001,1853,253,2106,,"Headline: Immediate descent to Floor 1 via the open ladder.  Meaningful events (ordered): 1. [t+1 to t+3] The player moves directly to the ladder at (0,0) and descends to Floor 1, gaining 1 XP. 2. [t+4 to t+6] Up ...<snip>"
0,predict_history_k5,predict,ok,23.066299,7727,921,2087,237,2324,,"Headline: Initial resource gathering and tool crafting on Floor 0.  Meaningful events (ordered): 1. [t+1 to t+4] The player moves toward the nearest tree (likely at 1,1 or -2,-2) and chops wood to begin crafting. ...<snip>"
283,predict_state_only,predict,ok,27.316603,7535,1181,2073,284,2357,,Headline: Immediate descent to Floor 1 followed by resource consolidation.  Meaningful events (ordered): 1. [t+1 to t+3] The player moves directly to the open ladder (likely near the center or a known exit point) ...<snip>
283,predict_history_k5,predict,ok,26.913109,11471,1075,4079,271,4350,,"Headline: Immediate food acquisition from nearby Cow before descending the open ladder.  Meaningful events (ordered): 1. [t+1 to t+3] The player moves to (1, 0) to engage the Cow, killing it and consuming the mea ...<snip>"
298,predict_state_only,predict,ok,24.577021,8296,1100,2511,256,2767,,"Headline: Securing the fountain and clearing the path to the open ladder on Floor 1.  Meaningful events (ordered): 1. [t+1 to t+3] The player moves to (0, -1) to drink from the fountain, restoring Drink to 9 and  ...<snip>"
298,predict_history_k5,predict,ok,21.358067,13839,893,5460,210,5670,,"Headline: Securing light and resources on Floor 1 before clearing mobs.  Meaningful events (ordered): 1. [t+1 to t+5] The player moves toward the fountain at (0, -1) to replenish drink and likely places a torch o ...<snip>"
650,predict_state_only,predict,ok,24.580284,8331,1075,2531,263,2794,,"Headline: Securing a safe sleep cycle to stabilize health before floor progression.  Meaningful events (ordered): 1. [t+1 to t+3] The player moves to the nearby Snail at (0, -2) and kills it to secure food, then  ...<snip>"
650,predict_history_k5,predict,ok,31.516441,16708,1335,7051,315,7366,,"Headline: Critical survival maneuver against Orc Mage while securing stone resources.  Meaningful events (ordered): 1. [t+1 to t+3] The player engages the nearby Orc Mage (likely at -4, 0) using the Iron Sword or ...<snip>"
1000,predict_state_only,predict,ok,24.331888,8425,998,2566,255,2821,,"Headline: Descending to Floor 2 via the open ladder while maintaining resource reserves.  Meaningful events (ordered): 1. [t+1 to t+3] The player moves from (0,0) to (0,3) to locate the open ""ladder_up"" tile and  ...<snip>"
1000,predict_history_k5,predict,ok,21.832085,17307,800,7291,204,7495,,"Headline: Descending to Floor 2 via the open ladder.  Meaningful events (ordered): 1. [t+1 to t+3] The player moves directly to the `ladder_up` tile at (0, 3) and descends to Floor 2, gaining 1 XP. 2. [t+4 to t+8 ...<snip>"
1310,predict_state_only,predict,ok,27.375181,8359,1080,2544,280,2824,,"Headline: Descending to Floor 2 with a Diamond Pickaxe upgrade.  Meaningful events (ordered): 1. [t+1 to t+3] The player moves right along the path toward the ladder at (0, -4) or (0, -5) area, utilizing the open ...<snip>"
1310,predict_history_k5,predict,ok,32.707697,16959,1334,7163,319,7482,,"Headline: Securing hydration and eliminating the Snail before locating the ladder.  Meaningful events (ordered): 1. [t+1 to t+3] The player moves to (3, 0) to drink from the fountain, raising Drink from 8 to 9, t ...<snip>"
1450,predict_state_only,predict,ok,25.990447,8379,1099,2556,265,2821,,"Headline: Immediate descent to Floor 2 via open ladder.  Meaningful events (ordered): 1. [t+1 to t+3] The player, currently facing left but with the ladder open on Floor 1, immediately turns and moves to locate t ...<snip>"
1450,predict_history_k5,predict,ok,25.56201,17123,1025,7248,243,7491,,"Headline: Descending to Floor 2 via the open ladder after clearing the immediate corridor.  Meaningful events (ordered): 1. [t+1 to t+5] The player continues moving left along the path, navigating around the wall ...<snip>"
1750,predict_state_only,predict,ok,25.878895,8460,1079,2599,270,2869,,"Headline: Descending to Floor 2 with a Diamond Pickaxe upgrade.  Meaningful events (ordered): 1. [t+1 to t+3] The player moves directly to the open ladder at (0, -4) and descends to Floor 2, gaining 1 XP. 2. [t+4 ...<snip>"
1750,predict_history_k5,predict,ok,28.582781,17382,1187,7406,280,7686,,"Headline: Descending to Floor 2 and securing immediate survival resources.  Meaningful events (ordered): 1. [t+1 to t+3] The player completes the descent to Floor 2, gaining 1 XP (total 2) and entering a dark, un ...<snip>"
2050,predict_state_only,predict,ok,27.053575,8400,1218,2537,286,2823,,"Headline: Immediate combat with Orc Mages and securing the ladder descent.  Meaningful events (ordered): 1. [t+1 to t+4] The player engages the two nearby Orc Mages (at -2,-3 and 1,-2) using the Iron Sword and Fi ...<snip>"
2050,predict_history_k5,predict,ok,25.997252,17196,1020,7157,255,7412,,"Headline: Engaging nearby Orc Mages to clear the path before descending the open ladder.  Meaningful events (ordered): 1. [t+1 to t+5] The player moves left to engage the Orc Mage at (-2, -3) and the Fireball at  ...<snip>"
2180,predict_state_only,predict,ok,24.811615,8382,1074,2550,255,2805,,"Headline: Immediate descent to Floor 2 with resource consolidation.  Meaningful events (ordered): 1. [t+1 to t+3] The player moves directly to the open ladder at the current floor's exit and descends to Floor 2,  ...<snip>"
2180,predict_history_k5,predict,ok,26.892551,17257,1125,7286,261,7547,,"Headline: Descending to Floor 2 to continue progression.  Meaningful events (ordered): 1. [t+1 to t+3] The player moves directly onto the open ladder tile and descends to Floor 2, gaining 1 XP. 2. [t+4 to t+8] Up ...<snip>"
2195,predict_state_only,predict,ok,24.149158,8365,1044,2523,249,2772,,Headline: Clearing the floor to open the ladder before descending.  Meaningful events (ordered): 1. [t+1 to t+4] The player moves south and east to engage the first wave of mobs (likely Orcs or similar troops) us ...<snip>
2195,predict_history_k5,predict,ok,24.156988,17545,977,7300,229,7529,,"Headline: Clearing Floor 2 to open the ladder while maintaining full resources.  Meaningful events (ordered): 1. [t+1 to t+5] The player moves left and down through the open path, engaging the nearby Snail and St ...<snip>"
