t,run_id,role,status,latency_s,prompt_chars,response_chars,prompt_tokens,completion_tokens,total_tokens,error,response_preview
0,predict_state_only,predict,ok,198.7459,6789,861,1774,210,1984,,"Headline: Immediate resource acquisition and ladder descent on Floor 0.  Meaningful events (ordered): 1. [t+1 to t+5] The player moves toward the nearest trees (at -4, -3, -2) to gather wood, prioritizing surviva ...<snip>"
0,predict_history_k5,predict,ok,8.549943,7380,1009,2008,235,2243,,"Headline: Immediate wood gathering and tool crafting to enable stone mining on Floor 0.  Meaningful events (ordered): 1. [t+1 to t+5] The player moves toward the nearest tree at (2, -4) or (-2, -2) to gather wood ...<snip>"
283,predict_state_only,predict,ok,8.338303,7188,961,1994,235,2229,,"Headline: Immediate resource consolidation and ladder descent on Floor 0.  Meaningful events (ordered): 1. [t+1 to t+5] The player moves right toward the Cow at (1,0) to kill it, restoring Food, while gathering n ...<snip>"
283,predict_history_k5,predict,ok,7.952494,11124,820,4000,199,4199,,"Headline: Immediate food acquisition and ladder descent preparation.  Meaningful events (ordered): 1. [t+1 to t+3] The player moves right to engage the Cow at (1,0), killing it to raise Food from 2 to 3 and gain  ...<snip>"
298,predict_state_only,predict,ok,9.511884,7949,1084,2432,267,2699,,"Headline: Immediate resource consolidation and ladder preparation on Floor 1.  Meaningful events (ordered): 1. [t+1 to t+5] The player moves right along the path at Row 0 to locate the chest at (5, 0) and gathers ...<snip>"
298,predict_history_k5,predict,ok,8.252306,13492,867,5381,205,5586,,"Headline: Immediate torch usage and ladder search on Floor 1.  Meaningful events (ordered): 1. [t+1 to t+3] The player moves toward the torch at (-2, -3) to light the surrounding darkness, enabling safe explorati ...<snip>"
650,predict_state_only,predict,ok,15.730848,7984,1957,2452,450,2902,,"Headline: Immediate survival stabilization and resource consolidation on Floor 1.  Meaningful events (ordered): 1. [t+1 to t+5] The player moves right toward the wall at (0,1) and places stone blocks to create a  ...<snip>"
650,predict_history_k5,predict,ok,10.877349,16361,1117,6972,274,7246,,Headline: Immediate survival stabilization and resource consolidation on Floor 1.  Meaningful events (ordered): 1. [t+1 to t+5] The player moves right to clear the immediate threat (Snail) and secure the stone at ...<snip>
1000,predict_state_only,predict,ok,7.253267,8078,822,2487,201,2688,,"Headline: Immediate ladder descent and resource consolidation on Floor 2.  Meaningful events (ordered): 1. [t+1 to t+5] The player moves right to coordinate (5, 3) and takes the open ladder to descend to Floor 2. ...<snip>"
1000,predict_history_k5,predict,ok,9.607527,16960,980,7212,234,7446,,"Headline: Final floor clear and immediate descent to Floor 2.  Meaningful events (ordered): 1. [t+1 to t+5] The player continues moving right toward the open ladder at (0, 3), passing the nearby fountain and wall ...<snip>"
1310,predict_state_only,predict,ok,9.198934,8012,1129,2465,258,2723,,"Headline: Immediate ladder descent and equipment optimization on Floor 2.  Meaningful events (ordered): 1. [t+1 to t+3] The player moves right toward the open ladder at (5, 0) and descends to Floor 2, prioritizin ...<snip>"
1310,predict_history_k5,predict,ok,8.828941,16612,897,7084,214,7298,,"Headline: Ladder descent prioritized over minor upgrades due to open status.  Meaningful events (ordered): 1. [t+1 to t+5] The player moves right to locate the open ladder at (0, -1) and descends to Floor 2. 2. [ ...<snip>"
1450,predict_state_only,predict,ok,9.148989,8032,1011,2477,257,2734,,"Headline: Immediate ladder descent and equipment optimization on Floor 2.  Meaningful events (ordered): 1. [t+1 to t+5] The player moves left toward the open ladder at (-4, 0) and descends to Floor 2, leaving the ...<snip>"
